(6.05282,0)
(17.9032,0)
(9.41937,0)
(7.30741,0)
(8.14622,0)
(15.8025,0)
(7.5583,0)
(7.27864,0)
(9.49087,0)
(18.5451,0)
(7.35338,0)
(7.25636,0)
(10.3834,0)
(18.0018,0)
(5.89705,0)
(7.79391,0)
(12.5243,0)
(18.7693,0)
(4.85844,0)
(7.65024,0)
(12.2981,0)
(22.3222,0)
(4.96737,0)
(7.67447,0)
(13.3996,0)
(22.9746,0)
(5.56632,0)
(8.30872,0)
(13.6779,0)
(22.7325,0)
(5.31662,0)
(7.1742,0)
(12.8398,0)
(23.4485,0)
(7.65758,0)
(6,0)
(11.0988,0)
(22.8736,0)
(9.17554,0)
(7.04481,0)
(10.5321,0)
(22.3853,0)
(8.39066,0)
(8.02829,0)
(9.68508,0)
(22.4273,0)
(8.60964,0)
(6.08092,0)
(10.7218,0)
(19.5568,0)
(8.76439,0)
(6.12298,0)
(10.6935,0)
(18.4541,0)
(8.88295,0)
(5.53533,0)
(11.614,0)
(17.3454,0)
(9.09902,0)
(5,0)
(12.9977,0)
(17.5302,0)
(8.43645,0)
(5,0)
(16.0729,0)
(17.3403,0)
(7.3679,0)
(6.81574,0)
(16.7872,0)
(17.9533,0)
(9.36326,0)
(4.64575,0)
(17.9947,0)
(18.6391,0)
(9.70817,0)
(4.02014,0)
(18.6994,0)
(19.3437,0)
(9.55872,0)
(3.47982,0)
(17.9067,0)
(18.1163,0)
(10.3449,0)
(3.67282,0)
(16.6598,0)
(17.8037,0)
(10.0684,0)
(4.64575,0)
(15.4647,0)
(18.0814,0)
(10.9104,0)
(4.14092,0)
(16.7725,0)
(19.8384,0)
(10.8301,0)
(4.09582,0)
(15.169,0)
(17.9007,0)
(10.8301,0)
(5.09364,0)
(15.2119,0)
(17.7186,0)
(10.1523,0)
(5.35288,0)
(15.0664,0)
(19.0546,0)
(9.63052,0)
(6.9652,0)
(17.216,0)
(19.4771,0)
(8.65331,0)
(5.7816,0)
(17.0706,0)
(20.9735,0)
(8.71485,0)
(5.7816,0)
(17.2216,0)
(19.8149,0)
(9.37457,0)
(5,0)
(14.6639,0)
(21.9139,0)
(9.03394,0)
(5,0)
(16.2202,0)
(21.5662,0)
(10.3904,0)
(3.93543,0)
(16.1223,0)
(22.2474,0)
(9.48614,0)
(4.56155,0)
(14.6141,0)
(18.159,0)
(9.73044,0)
(6.37228,0)
(14.3346,0)
(17.8714,0)
(10.0492,0)
(4.38417,0)
(14.1876,0)
(17.676,0)
(10.8286,0)
(3.56155,0)
(15.7506,0)
(17.4148,0)
(11.5308,0)
(3.1038,0)
(16.7635,0)
(16.5589,0)
(11.9373,0)
(4,0)
(16.1419,0)
(15.7554,0)
(11.1497,0)
(5,0)
(16.2572,0)
(16.4967,0)
(10.6847,0)
(4,0)
(16.3893,0)
(17.2486,0)
(11.0757,0)
(4,0)
(17,0)
(16.8277,0)
(11.5012,0)
(3.56155,0)
(17.2188,0)
(17.0194,0)
(11.1139,0)
(3.84732,0)
(16.1075,0)
(15.6392,0)
(11.2775,0)
(4.79885,0)
(14.8052,0)
(15.6042,0)
(12.1205,0)
(4,0)
(15.8662,0)
(16.4576,0)
(12.1231,0)
(3.0796,0)
(15.9986,0)
(14.9282,0)
(13.2547,0)
(3.0796,0)
(15.6135,0)
(14.0822,0)
(13.2752,0)
(2.8662,0)
(15.3728,0)
(15.535,0)
(12.8351,0)
(3.30278,0)
(15.908,0)
